nama_kosan,lokasi,type_kosan,fasilitas,harga
 Kost Ono Tipe D , Cempaka Putih , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp1.334.500 
 Kost D Parama Kelinci Raya Tipe C , Sawah Besar , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp3.150.000 
 Kost Bugenvil Tipe C , Kemayoran , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur']", Rp1.425.000 
 Kost Kanaya Tipe B , Cempaka Putih , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp3.125.000 
 Kost Behring 41 Tipe B , Sawah Besar , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp3.000.000 
 Kost W One Kebon Kacang Tipe B , Tanah Abang , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp2.969.000 
 Kost Batik Tipe C Bendungan Hilir , Tanah Abang , Putri ,"['WiFi·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp1.725.000 
 Kost Ono Tipe A , Cempaka Putih , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp1.189.000 
 Kost Petojo 25 Tipe A , Gambir , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kasur·', 'Akses 24 Jam']", Rp2.025.000 
 Kost Cempaka Baru III Tipe A , Kemayoran , Putri ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp1.700.000 
 Kost Kingkit IV Tipe C , Gambir , Campur ,"['WiFi·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp1.589.000 
 Kost Dwi Warna 18A Tipe C , Sawah Besar , Campur ,"['WiFi·', 'Kasur·', 'Akses 24 Jam']", Rp1.075.000 
 Kost Cempaka 15 Tipe A , Cempaka Putih , Putra ,"['WiFi·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp849.500 
 Kost Pondok Anugrah Tipe A , Gambir , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp2.417.000 
 Kost Utara 30 Tipe B , Kemayoran , Campur ,"['WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp1.510.000 
 Kost Bright Tipe A , Johar Baru , Putri ,"['WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp1.285.000 
 Kost Harmony Tipe A , Senen , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur']", Rp2.475.000 
 Kost Prospera Living Tipe A , Senen , Campur ,"['WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp1.424.000 
 Kost E 18 Tipe C , Cempaka Putih , Putra ,"['WiFi·', 'Kasur·', 'Akses 24 Jam']", Rp752.500 
 Kost Kepu 66 Tipe A , Kemayoran , Putri ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp1.771.000 
 Kost Rumah Ceria Cideng Tipe D , Gambir , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp3.325.000 
 Kost Dinor Living Tipe B Bendungan Hilir , Tanah Abang , Putri ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp2.815.000 
 Kost One Residence Tipe A , Kemayoran , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur']", Rp2.325.000 
 Kost Nabila Tipe B , Kecamatan Cempaka Putih , Putri ,"['K. Mandi Dalam·', 'WiFi·', 'Kasur·', 'Akses 24 Jam']", Rp1.125.000 
 Kost E 18 Tipe A , Cempaka Putih , Putra ,"['K. Mandi Dalam·', 'WiFi·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp1.260.000 
 Kost Anisa Kebon Kacang 6 Tipe F , Tanah Abang , Putri ,"['WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur']", Rp2.115.000 
 Kost GBU Houseroom Tipe D , Kecamatan Kemayoran , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp2.185.000 
 Kost Miracle Petamburan II Tipe C , Tanah Abang , Putri ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kasur·', 'Akses 24 Jam']", Rp1.875.000 
 Kost TM Urban Stay Tipe C , Kemayoran , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp1.900.000 
 Kost Tipe B , Kecamatan Tanah Abang , Putri ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kasur·', 'Akses 24 Jam']", Rp1.674.000 
 Kost Dempo 9 Tipe C , Menteng , Campur ,"['WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp2.075.000 
 Kost Ono Tipe B , Cempaka Putih , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'Kasur·', 'Akses 24 Jam']", Rp1.175.000 
 Kost 33 Cempaka Baru Tipe B , Kemayoran , Putra ,"['WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp1.200.000 
 Kost Hygge Hus Kampung Bali Tipe A , Tanah Abang , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp2.353.000 
 Kost Kanaya Tipe C , Cempaka Putih , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp2.875.000 
 Kost Ahava Gajah Mada Satu Enam Tipe A , Gambir , Campur ,"['WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur']", Rp1.980.000 
 Kost D Parama Kelinci Raya Tipe A , Sawah Besar , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp2.925.000 
 Kost W One Kebon Kacang Tipe A , Tanah Abang , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp4.349.000 
 Kost Pondok Madani Tipe B , Johar Baru , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp1.555.000 
 Kost SB Living Tipe A , Menteng , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp1.921.880 
 Kost Tiga Nur Tipe D , Senen , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'Kasur·', 'Akses 24 Jam']", Rp1.355.000 
 Kost Aipda Petamburan Tipe C , Tanah Abang , Putri ,"['K. Mandi Dalam·', 'WiFi·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp1.261.000 
 Kost 89G Kwitang Tipe A , Senen , Putri ,"['WiFi·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp1.175.000 
 Kost Utara 30 Tipe A , Kemayoran , Campur ,"['WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp1.775.000 
 Kost Dinor Living Tipe A Bendungan Hilir , Tanah Abang , Putri ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp2.995.000 
 Kost Petojo Selatan 12 Tipe A , Gambir , Putri ,"['WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp1.925.000 
 Kost Laura Tipe A , Kemayoran , Putri ,"['WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp1.875.000 
 Kost Anisa Kebon Kacang 6 Tipe A , Tanah Abang , Putri ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur']", Rp3.025.000 
 Kost House of Joy Tipe B , Sawah Besar , Putra ,"['WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp1.725.000 
 Kost Bugenvil Tipe D , Kemayoran , Putri ,"['WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur']", Rp1.525.000 
 Kost Gunung Sahari XI Tipe A , Sawah Besar , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'Kasur·', 'Akses 24 Jam']", Rp1.275.000 
 Kost Kingkit IV Tipe A , Gambir , Campur ,"['WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp1.819.000 
 Kost W One Pasar Baru Tipe B , Sawah Besar , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur']", Rp2.693.000 
 Kost Dinor Living Tipe C Bendungan Hilir , Tanah Abang , Putri ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp2.725.000 
 Kost Anisa Kebon Kacang 6 Tipe G , Tanah Abang , Putri ,"['WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur']", Rp2.425.000 
 Kost House of Joy Tipe A , Sawah Besar , Putra ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp1.825.000 
 Kost Rumah Ceria Cideng Tipe B , Gambir , Campur ,"['WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp2.300.000 
 Kost D Parama Kelinci Raya Tipe B , Sawah Besar , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp3.312.000 
 Kost Lia Tipe D Sawah Besar Pusat , Jakarta , Campur ,"['WiFi·', 'Kasur']", Rp902.500 
 Kost Bugenvil Tipe E , Kemayoran , Campur ,"['WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur']", Rp1.313.000 
 Kost TM Urban Stay Tipe D , Kemayoran , Campur ,"['WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp1.800.000 
 Kost Nest Cikini Tipe A , Menteng , Campur ,"['WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp2.525.000 
 Kost Baitussalam Tipe A , Cempaka Putih , Putri ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp1.800.000 
 Kost Bella Vita Tipe D , Senen , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp2.305.000 
 Kost Laura Tipe B , Kemayoran , Putri ,"['WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp1.566.000 
 Kost Cempaka 15 Tipe C , Cempaka Putih , Putra ,"['WiFi·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp715.000 
 Kost Dempo 9 Tipe A , Menteng , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp3.325.000 
 Kost Kepu 66 Tipe C , Kemayoran , Putri ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp1.577.000 
 Kost Graha 12 Tipe A , Sawah Besar , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp1.825.000 
 Kost Blueberry 1 Tipe A , Sawah Besar , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp2.575.000 
 Kost Tipe A , Kecamatan Tanah Abang , Putri ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kasur·', 'Akses 24 Jam']", Rp1.771.000 
