nama_kosan,lokasi,type_kosan,fasilitas,harga
 Kost The Hartonos Rawasari Tipe A , Cempaka Putih , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp1.900.000 
 Kost Cozy Rawasari Tipe A , Cempaka Putih , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp1.802.500 
 Kost Kanaya Tipe D , Cempaka Putih , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp2.625.000 
 Kost 28 Tipe A , Kemayoran , Putri ,"['WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp1.221.000 
 Kost R Sari Tipe A , Cempaka Putih , Campur ,"['WiFi·', 'Kasur·', 'Akses 24 Jam']", Rp850.000 
 Kost Rap 18A Tipe B , Kemayoran , Campur ,"['WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp1.405.000 
 Kost GBU Houseroom Tipe A , Kecamatan Kemayoran , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp1.900.000 
 Kost Juanda Omaika Tipe A , Gambir , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur']", Rp1.727.000 
 Kost Bella Vita Tipe B Salemba , Senen , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp2.725.000 
 Kost Dempo 9 Tipe B , Menteng , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp2.095.000 
 Kost Hygge Hus Kampung Bali Tipe B , Tanah Abang , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp2.141.000 
 Kost Shafira Tipe B , Kemayoran , Putri ,"['K. Mandi Dalam·', 'WiFi·', 'Kasur']", Rp1.425.000 
 Kost Kebon Kacang Tipe C , Tanah Abang , Putri ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kasur']", Rp2.025.000 
 Kost Suryopranoto Petojo Tipe A , Gambir , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp2.555.000 
 Kost Mutiara 16B Tipe A Sumur Batu , Kecamatan Kemayoran , Campur ,"['AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp975.000 
 Kost Lia Tipe A Sawah Besar Pusat , Jakarta , Campur ,"['WiFi·', 'Kasur']", Rp1.100.000 
 Kost Rumah Sagre Tipe C , Kecamatan Cempaka Putih , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur']", Rp3.815.000 
 Kost Miracle Petamburan II Tipe B , Tanah Abang , Putri ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kasur·', 'Akses 24 Jam']", Rp1.771.000 
 Kost Blueberry 1 Tipe C , Sawah Besar , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp2.075.000 
 Kost Sofia Thamrin Tipe B , Tanah Abang , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp2.693.000 
 Kost 89G Kwitang Tipe B , Senen , Putri ,"['WiFi·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp1.125.000 
 Kost Juanda One Tipe A , Sawah Besar , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp3.521.000 
 Kost De 9 House Tipe A , Menteng , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur']", Rp2.343.400 
